disorder name 	icd-10 code	source
polychondrite récidivant 	M94.1	wikidata
polychondrite chronique atrophiant 	M94.1	wikidata
éphélide 	L81.2	wikidata
tache de rousseur 	L81.2	wikidata
syndrome de asperger 	F84.5	wikidata
asperger 	F84.5	wikidata
aspie 	F84.5	wikidata
syndrôme de asperger 	F84.5	wikidata
progéria 	E34.8	wikidata
progeria 	E34.8	wikidata
syndrome hémolytique et urémique 	D59.3	wikidata
maladie de hamburger 	D59.3	wikidata
maladie de hamburger 	D59.3	wikidata
syndrome hemolytique et uremique 	D59.3	wikidata
syndrome hemolytique urémique 	D59.3	wikidata
syndrome hémolytique urémique 	D59.3	wikidata
fièvre hémorragique viral 	A99	wikidata
fièvre hémorragique 	A99	wikidata
fievre hemorragique viral 	A99	wikidata
fiévre hémorragique viral 	A99	wikidata
fièvre hémorragique 	A99	wikidata
fièvre hémorragique africain 	A99	wikidata
endocardite non infectieux 	I38	wikidata
endocardite marantique 	I38	wikidata
érythromycine 	N74.4	wikidata
114-07-8 	N74.4	wikidata
1264-62-6 	N74.4	wikidata
41342-53-4 	N74.4	wikidata
abboticine 	N74.4	wikidata
c37h67no13 	N74.4	wikidata
c43h75no16 	N74.4	wikidata
erythromycine 	N74.4	wikidata
érythromycine éthylsuccinat 	N74.4	wikidata
succinate éthylique de érythromycine 	N74.4	wikidata
jumeau siamois 	Q89.4	wikidata
frère siamois 	Q89.4	wikidata
jumeau fusionner 	Q89.4	wikidata
jumeau fusionner 	Q89.4	wikidata
jumeau siamois 	Q89.4	wikidata
soeurs siamois 	Q89.4	wikidata
syndrome de cushing 	E24.9	wikidata
maladie de cushing 	E24.9	wikidata
trisomie 13 	Q91.7	wikidata
syndrome de patau 	Q91.7	wikidata
thalassémie alpha 	D56.0	wikidata
thalassemie alpha 	D56.0	wikidata
œsophagite 	K20.9	wikidata
oesophagite 	K20.9	wikidata
oesophagite 	K20.9	wikidata
atrésie de le oesophage 	Q39.0	wikidata
atresie de le oesophage 	Q39.0	wikidata
atrésie oesophagien 	Q39.0	wikidata
ornithose 	A70	wikidata
chlamydiose aviaire 	A70	wikidata
psittacose 	A70	wikidata
anévrisme 	I72	wikidata
anevrisme 	I72	wikidata
anévrysme 	I72	wikidata
rupture de anévrisme 	I72	wikidata
rupture de anévrisme 	I72	wikidata
narcolepsie 	G47.419	wikidata
maladie de gélineau 	G47.419	wikidata
narcolepsie 	G47.419	wikidata
narcoleptique 	G47.419	wikidata
bilharziose 	B65	wikidata
bilharziose 	B65	wikidata
schistosomiase 	B65	wikidata
schistosomose 	B65	wikidata
rougeole 	B05.9	wikidata
ière maladie 	B05.9	wikidata
premier maladie 	B05.9	wikidata
syndrome de lafora 	G40.3	wikidata
épilepsie myoclonique progressif type 2 	G40.3	wikidata
abcès 	L02	wikidata
abcédation 	L02	wikidata
abces 	L02	wikidata
abcés 	L02	wikidata
cancer de côlon 	C21	wikidata
cancer colique 	C21	wikidata
cancer colo- rectal 	C21	wikidata
cancer colorectal 	C21	wikidata
cancer de colon 	C21	wikidata
cancer de colon 	C21	wikidata
infection nosocomial 	Y95	wikidata
antibiorésistant 	Y95	wikidata
comité de lutte contre le infection nosocomial 	Y95	wikidata
ctin 	Y95	wikidata
infection hospitalier 	Y95	wikidata
infection postopératoire 	Y95	wikidata
infection nosocomial 	Y95	wikidata
maladie nosocomial 	Y95	wikidata
maladie nosocomial 	Y95	wikidata
nosocomial 	Y95	wikidata
nosocomiale 	Y95	wikidata
résister à antibiotique 	Y95	wikidata
risquer nosocomial 	Y95	wikidata
risque nosocomial 	Y95	wikidata
monochoriale monoamniotique 	Q89.4	wikidata
algie vasculaire de le face 	G44.0	wikidata
algie vasculaire de le face 	G44.0	wikidata
cephalee de horton 	G44.0	wikidata
céphalée de horton 	G44.0	wikidata
névralgie facial 	G44.0	wikidata
transidentité 	F64.0	wikidata
transsexuel 	F64.0	wikidata
transsexuelle 	F64.0	wikidata
phobie social 	F93.2	wikidata
angoisse social 	F93.2	wikidata
anxiété social 	F93.2	wikidata
phobie social 	F93.2	wikidata
glioblastome multiforme 	C71	wikidata
astrocytome de grade 4 	C71	wikidata
glioblastome 	C71	wikidata
acromégalie 	E22.0	wikidata
acromegalie 	E22.0	wikidata
cancer de le estomac 	C16.6	wikidata
délire 	F22	wikidata
affabulation 	F22	wikidata
delire 	F22	wikidata
délire psychotique 	F22	wikidata
délire sexuel 	F22	wikidata
délire 	F22	wikidata
delusion 	F22	wikidata
idée délirant 	F22	wikidata
illusion sensoriel 	F22	wikidata
syndrome délirer 	F22	wikidata
cinétose 	T75.3	wikidata
cinetose 	T75.3	wikidata
mal de le air 	T75.3	wikidata
